,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
72,2020-02-02,6,44,0,FL,0.0,0,,0
73,2020-02-09,5,24,1,FL,0.0,0,,0
74,2020-02-16,4,42,1,FL,0.0,0,,0
75,2020-02-23,15,34,4,FL,0.0,0,,0
76,2020-03-01,32,46,9,FL,0.0,0,,0
77,2020-03-08,65,45,33,FL,12.0,4,118.0,18
78,2020-03-15,100,69,78,FL,91.0,40,678.0,200
79,2020-03-22,81,100,91,FL,731.0,203,7990.0,1411
80,2020-03-29,63,55,92,FL,3884.0,705,39070.0,3704
81,2020-04-05,62,52,77,FL,11245.0,1148,101253.0,10297
82,2020-04-12,47,82,59,FL,18404.0,1064,163398.0,8959
83,2020-04-19,37,14,48,FL,24647.0,741,230083.0,8825
84,2020-04-26,21,51,42,FL,30405.0,795,313085.0,10825
85,2020-05-03,18,55,41,FL,34841.0,632,392111.0,11562
86,2020-05-10,16,70,39,FL,39179.0,681,498352.0,10622
87,2020-05-17,12,74,34,FL,44161.0,1136,606204.0,20968
88,2020-05-24,10,34,30,FL,49095.0,545,820368.0,14058
89,2020-05-31,8,0,25,FL,54510.0,870,965186.0,25642
90,2020-06-07,8,26,33,FL,61941.0,1392,1152220.0,40793
91,2020-06-14,12,43,47,FL,73282.0,2133,1333447.0,36586
92,2020-06-21,16,52,60,FL,94786.0,4617,1502005.0,34530
93,2020-06-28,15,44,55,FL,138499.0,8354,1740822.0,43842
94,2020-07-05,15,41,52,FL,196386.0,9856,2000088.0,43643
95,2020-07-12,14,66,51,FL,265432.0,15149,2304196.0,83408
96,2020-07-19,10,25,44,FL,344305.0,12385,2652594.0,58175
97,2020-07-26,9,74,36,FL,417360.0,9246,2962648.0,40782
98,2020-08-02,7,41,100,FL,479915.0,7056,3233865.0,34450
99,2020-08-09,7,58,30,FL,525106.0,6139,3452857.0,33562
100,2020-08-16,6,54,26,FL,567375.0,3747,3659212.0,26124
101,2020-08-23,5,56,23,FL,594287.0,3004,3828062.0,23812
102,2020-08-30,5,39,24,FL,614753.0,2547,3978022.0,21814
103,2020-09-06,5,32,22,FL,639166.0,2513,4138339.0,18399
104,2020-09-13,4,43,20,FL,656485.0,2395,4259936.0,19827
105,2020-09-20,4,36,20,FL,675691.0,2497,4411335.0,24014
106,2020-09-27,4,41,21,FL,692234.0,1847,4552877.0,16552
107,2020-10-04,4,66,18,FL,707751.0,1786,4680415.0,18547
108,2020-10-11,4,62,16,FL,725415.0,5414,4816040.0,26799
109,2020-10-18,4,60,17,FL,745492.0,2474,4967372.0,15753
110,2020-10-25,4,66,18,FL,768653.0,2348,5174087.0,12277
111,2020-11-01,3,33,14,FL,796802.0,4805,5379089.0,44294
112,2020-11-08,4,45,19,FL,832525.0,6619,5557306.0,38183
113,2020-03-08,77,0,57,VT,1.0,0,30.0,5
114,2020-03-15,100,0,100,VT,12.0,4,405.0,73
115,2020-03-22,76,0,93,VT,76.0,24,1204.0,124
116,2020-03-29,59,0,83,VT,256.0,22,3483.0,291
117,2020-04-05,54,77,64,VT,543.0,31,5830.0,588
118,2020-04-12,43,0,49,VT,754.0,21,8724.0,661
119,2020-04-19,34,0,27,VT,817.0,4,11450.0,238
120,2020-04-26,20,76,41,VT,855.0,3,13518.0,248
121,2020-05-03,18,0,32,VT,901.0,5,15570.0,338
122,2020-05-10,18,0,27,VT,926.0,0,18167.0,477
123,2020-05-17,15,84,26,VT,940.0,0,22974.0,777
124,2020-05-24,13,0,18,VT,956.0,2,27634.0,1164
125,2020-05-31,10,80,21,VT,981.0,4,32989.0,1299
126,2020-06-07,10,0,30,VT,1063.0,17,40155.0,1118
127,2020-06-14,11,0,25,VT,1127.0,2,49855.0,1047
128,2020-06-21,12,0,25,VT,1159.0,12,56686.0,805
129,2020-06-28,13,0,26,VT,1202.0,2,62663.0,1140
130,2020-07-05,15,0,26,VT,1249.0,11,68775.0,616
131,2020-07-12,14,0,32,VT,1296.0,13,74555.0,806
132,2020-07-19,10,89,26,VT,1350.0,12,81150.0,2042
133,2020-07-26,9,0,22,VT,1400.0,4,88409.0,989
134,2020-08-02,9,0,55,VT,1426.0,5,95255.0,1284
135,2020-08-09,8,0,23,VT,1459.0,5,101232.0,883
136,2020-08-16,6,0,27,VT,1515.0,6,109820.0,1032
137,2020-08-23,5,0,24,VT,1557.0,4,118486.0,1435
